model_name,loss_name,dataset_name,ssim,tssim,psnrb
AutoEncoder-2.3-64x64,LPSNRB,rafael_cifar_10,0.8439451456069946,0.8675797581672668,27.565271377563477
AutoEncoder-2.3-64x64,LSSIM,rafael_cifar_10_rafael_tinyImagenet,0.8138290047645569,0.8335686326026917,24.09528160095215
AutoEncoder-2.3-64x64,L3SSIM,rafael_cifar_10_rafael_tinyImagenet,0.815611720085144,0.8409695029258728,24.38214874267578
AutoEncoder-2.3-64x64,LSSIM,rafael_tinyImagenet,0.7804256081581116,0.7972022294998169,20.96139907836914
AutoEncoder-2.3-64x64,LSSIM,rafael_cifar_10,0.8526075482368469,0.8768733143806458,26.16101837158203
AutoEncoder-2.3-64x64,LPSNRB,rafael_cifar_10_rafael_tinyImagenet,0.76487135887146,0.7958425879478455,24.726703643798828
AutoEncoder-2.3-64x64,L3SSIM,rafael_tinyImagenet,0.7870680093765259,0.8130846619606018,21.433490753173828
AutoEncoder-2.3-64x64,L3SSIM,rafael_cifar_10,0.8507846593856812,0.8764418959617615,24.945842742919922
AutoEncoder-2.3-64x64,LPSNRB,rafael_tinyImagenet,0.7213395237922668,0.7569841742515564,22.283388137817383
ResidualAutoEncoder-0.1-64x64,LPSNRB,rafael_tinyImagenet,0.7909092307090759,0.8157485127449036,23.351234436035156
ResidualAutoEncoder-0.1-64x64,L3SSIM,rafael_cifar_10_rafael_tinyImagenet,0.8196609616279602,0.8452110290527344,23.23750877380371
ResidualAutoEncoder-0.1-64x64,LPSNRB,rafael_cifar_10,0.8335379958152771,0.8599385023117065,27.185771942138672
ResidualAutoEncoder-0.1-64x64,L3SSIM,rafael_cifar_10,0.8380451202392578,0.8636581897735596,26.136018753051758
ResidualAutoEncoder-0.1-64x64,LSSIM,rafael_cifar_10_rafael_tinyImagenet,0.8193135857582092,0.8428130745887756,23.860820770263672
ResidualAutoEncoder-0.1-64x64,LSSIM,rafael_cifar_10,0.8386479616165161,0.8649808764457703,26.41182518005371
ResidualAutoEncoder-0.1-64x64,LPSNRB,rafael_cifar_10_rafael_tinyImagenet,0.8063539266586304,0.8332185745239258,25.106433868408203
ResidualAutoEncoder-0.1-64x64,L3SSIM,rafael_tinyImagenet,0.8116309642791748,0.8344902396202087,21.918785095214844
ResidualAutoEncoder-0.1-64x64,LSSIM,rafael_tinyImagenet,0.8104227185249329,0.8325638771057129,21.65653419494629
Unet2.3-64x64,LPSNRB,rafael_cifar_10_rafael_tinyImagenet,0.796267569065094,0.8245375752449036,23.914527893066406
Unet2.3-64x64,LSSIM,rafael_tinyImagenet,0.8045271039009094,0.8093697428703308,19.89458656311035
Unet2.3-64x64,LSSIM,rafael_cifar_10,0.8538787961006165,0.8775091767311096,26.70718765258789
Unet2.3-64x64,L3SSIM,rafael_cifar_10,0.8423483371734619,0.868720293045044,23.834978103637695
Unet2.3-64x64,LSSIM,rafael_cifar_10_rafael_tinyImagenet,0.8240253925323486,0.8279665112495422,21.05978775024414
Unet2.3-64x64,L3SSIM,rafael_tinyImagenet,0.809876024723053,0.8327427506446838,20.639915466308594
Unet2.3-64x64,LPSNRB,rafael_tinyImagenet,0.7670673131942749,0.7959058284759521,22.62346076965332
Unet2.3-64x64,LPSNRB,rafael_cifar_10,0.8265985250473022,0.8550165295600891,26.690290451049805
